Symbol,Name,Article,Time,Body,Tokenize,Label
TSO,Tesoro Corporation,"1:Early movers: GM, KORS, FOXA, GPS, CNC, MNK & more","Tuesday,  7 Feb 2017 |  8:17  AM ET","Check out which companies are making headlines before the bell:  General Motors — The automaker reported adjusted fourth-quarter profit of $1.28 per share, 11 cents a share above estimates. Revenue also beat forecasts. GM's quarter was highlighted by a record pre-tax profit in North America. Michael Kors — The luxury goods maker beat estimates by a penny a share, with quarterly profit of $1.64 per share. The company's revenue was below estimates, and its full-year sales and earnings guidance came in below forecasts as well. 21st Century Fox — The media company reported adjusted quarterly profit of 53 cents per share, 4 cents a share above estimates. Revenue was just slightly below Street forecasts. Profit was up 27 percent over a year earlier, as ad sales and affiliate fees increased. Gap — Gap posted a January comparable-store sales increase of 1 percent, slightly below estimates, but the apparel retailer did give a full-year earnings outlook that exceeds Wall Street forecasts. The parent of Gap, Banana Republic, and Old Navy saw stronger-than-expected sales during the holiday quarter. Centene — The health insurer reported adjusted quarterly profit of $1.19 per share, beating estimates of $1.11 a share. Revenue also beat forecasts, with results being helped by more members and the acquisition of Health Net. Mallinckrodt — The drugmaker came in 9 cents a share above estimates, with quarterly profit of $1.91 per share. Revenue was above consensus as well. The company's bottom line was boosted by strong results in its specialty brands segment. Mosaic — The fertilizer producer beat estimates by 13 cents a share, with adjusted quarterly profit of 26 cents per share. Mosaic also cut its annual dividend to 60 cents per share from $1.10, however, with the company trying to maintain a strong balance sheet as its market recovers. Teva Pharmaceutical — Teva appointed Chairman Yitzhak Peterburg as interim chief executive officer, following the departure of Erez Vigodman as CEO. Board member Sol Barer will take over for Peterburg as chairman. Vigodman's departure comes after just 18 months on the job for the world's largest generic drug maker. Micron Technology — Micron may face an uphill battle in its bid for a stake in Toshiba's semiconductor business, with Reuters reporting that the chipmaker favors private equity bidders. Fiat Chrysler — The automaker repeated its assurance that its diesel vehicles are fully compliant with emission requirements. French officials are probing the company for possible violations, but Fiat Chrysler said it is cooperating and is confident that the matter would be resolved. BP — BP reported quarterly earnings that fell below analysts' forecasts, and posted a second consecutive annual loss as it deals with the effects of weak oil prices. Arconic — Arconic shares are on watch once again, after major shareholder First Pacific sided with activist investor Elliott Management in its bid to shake up the company's board. Elliott has been pushing for the removal of CEO Klaus Kleinfeld, though the company continues to emphasize its support for Kleinfeld. Tesoro — Tesoro reported a surprise profit during the fourth quarter, compared to an expected loss. The nation's largest refiner said its future results will be helped by the pending acquisition of Western Refining, a $4.1 billion all-stock deal announced in November. Cardinal Health — The drug distributor reported adjusted quarterly profit of $1.34 per share, beating estimates of $1.23, though revenue was slightly short of forecasts due to generic pricing and the loss of a large distribution customer. CORRECTION:  This story has been updated to show that fertilizer producer Mosaic beat estimates by 13 cents a share, with adjusted quarterly profit of 26 cents per share. ","[Pacific, sided, activist, investor, Elliott, Management, bid, shake, company, Elliott, pushing, removal, CEO, Klaus, Kleinfeld, company, continues, emphasize, support, Kleinfeld, Tesoro, Tesoro, reported, surprise, profit, compared, expected, loss, The, largest, refiner, said, future, result, helped, pending, acquisition, Western, Refining, announced, sided, activist, investor, Elliott, Management, bid, shake, company, Elliott, pushing, removal, CEO, Klaus, Kleinfeld, company, continues, emphasize, support, Kleinfeld, Tesoro, Tesoro, reported, surprise, profit, compared, expected, loss, The, largest, refiner, said, future, result, helped, pending, acquisition, Western, Refining, announced, November]",0.0
CAW,"CCA Industries, Inc.",,,,,
ISD,ISD,,,,,
FOSL,"Fossil Group, Inc.",2:Shares of Fossil tumble 20 percent as wearables aren't all they're cracked up to be,"Wednesday, 15 Feb 2017 |  9:55  AM ET","Shares of Fossil tumbled nearly 20 percent in early trading Wednesday, after the watchmaker missed Wall Street's fourth-quarter sales and profit expectations and provided a soft outlook for its 2017 fiscal year. The company's stock was last trading at $18.57. ""Fossil's fourth-quarter print was in and of itself, 'not much worse than feared'; however the implications on the go-forward operations leave us with a growing list of concerns on a business that is caught in the crosshairs of an evolving category amid shifting consumerpreferences,"" Wells Fargo analyst Ike Boruchow, who downgraded the company's shares to ""underperform"" from ""market perform,"" told investors. Those concerns include the company's top line miss, which came despite its ""much-hyped"" push into wearable technology. Fossil had to lower prices on these products to get consumers to bite, and plans relaunch the category in the third quarter with lower prices. That will eat into the category's profitability, Boruchow warned. Fossil's investments in wearable technology have also sent its debt levels and interest expense higher. ""It will be critical that the second-half sales acceleration implied by [Fossil's] guidance materializes to keep the company in the black,"" Evercore ISI analyst Omar Saad said. Yet despite investors' skittishness, Fossil CEO Kosta Kartsotis remains optimistic about the category. ""Even with overall fourth-quarter sales at the low end of our expectations, we began to observe new emerging trends to support our thesis that wearable technology can be the catalyst to drive growth in the watch category,"" he told analysts on a conference call Tuesday. During the fourth quarter, Fossil earned $1.03 a share on $959 million in revenue. Wall Street had been expecting the company to report earnings of $1.18 a share on $977 million in sales. On an adjusted basis, Fossil expects to earn between $1 and$1.70 per share in fiscal 2017, down from $1.80 adjusted last year. Fossil shares are down more than 30 percent over the past year.","[Shares, Fossil, tumbled, nearly, percent, trading, Wednesday, watchmaker, missed, Wall, Street, profit, expectation, provided, soft, outlook, fiscal, The, company, trading, Fossil, Shares, Fossil, tumbled, nearly, percent, trading, Wednesday, watchmaker, missed, Wall, Street, profit, expectation, provided, soft, outlook, fiscal, The, company, trading, Fossil, print, worse, feared, implication, go, forward, operation, leave, growing, list, concern, business, caught, crosshairs, evolving, category, amid, shifting, consumerpreferences, downgraded, company, share, underperform, market, perform, told, investor, Those, concern, include, company, top, line, came, despite, hyped, push, wearable, technology, Fossil, price, product, get, consumer, bite, plan, relaunch, category, price, That, eat, category, profitability, Boruchow, warned, Fossil, investment, wearable, ...]",1.0
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc.",,,,,
WINS,Wins Finance Holdings Inc.,,,,,
TSLA,"Tesla, Inc.","16:    
    Sell Tesla because Model 3 sales will disappoint next year, Goldman Sachs says","	  Monday, 27 Feb 2017 |  8:42  AM ET","Goldman Sachs cut its rating on Tesla to sell from neutral, saying delays in the large-scale production of its next electric car will mean lower-than-expected sales next year.""We expect to see pressure on shares as we progress through the year, as cash burn intensifies and the ramp of Model 3 volumes proves to be slower and flatter than assumed in guidance/consensus,"" analyst David Tamberrino wrote in a note to clients Monday.","[Goldman, Sachs, cut, rating, Tesla, neutral, saying, delay, scale, production, electric, car, mean, expected, We, expect, pressure, share, progress, burn, intensifies, ramp, Model, volume]",0.0
EGOV,NIC Inc.,,,,,
TGT,Target Corporation,9:Target CEO says retailer making $7 billion investment to 'win share not surrender it',"Tuesday, 28 Feb 2017 | 12:27  PM ET","Target will pour $7 billion in capital into areas including its digital properties, its new and existing store base, and lower prices over the next three years, as it tries to adapt to consumers' changing shopping habits and turn around a sales slump that continued into the fiscal fourth quarter. These investments will also take $1 billion out of the company's operating margin annually, but will better position the retailer for the long term, CEO Brian Cornell told analysts at an event in New York City on Tuesday.Investors balked at the news, sending the company's shares 12 percent lower in midday trading. Target stock was on pace to record its biggest daily sell-off since 1998, with shares last trading hands at $58.35.""Many of our competitors are aggressively rationalizing their assets. They're cutting costs just to keep their heads above water,"" Cornell said. ""This contraction will create opportunities for Target to pick up market share over the long term.""In fiscal 2017, roughly $500 million of Target's operating profit investment will be allocated toward driving growth in its business. That includes upgrading more than 100 of its big-box stores; roughly doubling the number of small-format shops it has in college towns and urban areas; adding new brands to its portfolio; and investing in faster, more profitable delivery of online orders.Another $400 million will be spent onlowering prices across the store, with an emphasis on staples like food and other household essentials. The retailer said it will lean on its historical reputation as a place where prices are low every day, instead of relying on promotions as it's recently done. That decision mimics a recent move by Wal-Mart, which has been gaining share in part by slashing prices.As a result of these initiatives, Target expects fiscal 2017 and 2018 to be investment years. It should return to stability and growth in 2019, Cornell said.""We're asking shareholders to make a meaningful investment,"" Cornell said. ""We're investing to win share not surrender it."" While Macy's and J.C. Penney plan to close roughly 100 stores each this year, Target will stick to its historical strategy of closing roughly a dozen locations. To revitalize traffic and sales in its remaining established stores, which recorded their third straight quarterly sales decline in the holiday period, Target will improve their appearance and visual merchandising.These updates will allow the retailer to better show customers how they can tie together an outfit, and will include more space for order pickup. The company expects its remodels, which were influenced by the results of its tests in L.A., to lift sales by 2 to 4 percent in each store.By 2019, the retailer expects to have refurbished some 600 of its stores.""They're old, they're tired and they haven't been updated in years,"" Cornell said. ""Each store's going to look and feel like a totally new Target.""The CEO reiterated that having a massive fleet is a key competitive advantage for Target, with CFO Cathy Smith adding that its stores ""universally"" generate cash.Meanwhile, Target will open roughly 30 small-format stores this year, and add a total of 100 over the next three years. These shops allow Target to enter more dense markets, and also serve as fulfillment centers. Even with their higher operating costs, they deliver two times the sales productivity of an average Target store, Cornell said.Aside from its investments in stores, Target plans to continue pouring money into its supply chain so that it can deliver online orders more quickly and profitably. Though the retailer's 34 percent increase in online sales lifted its top line in the fiscal fourth quarter, it dented its margins.The chain is also looking to capitalize on the popularity of its Cat &amp; Jack children's brand by rolling out even more exclusive lines. The retailer plans to launch more than 12 new brands, representing more than $10 billion in sales, over the next two years. Perhaps the most controversial piece of Target's plan is its decision to lower prices at the expense of gross margin. The retailer has struggled over the years to find the right balance between value and style, as competitor Wal-Mart has been taking down prices. Yet while value is important to the Target consumer, winning a price war against Wal-Mart is a tough proposition. Its massive scale and relationships with vendors have made it hard for other retailers to compete.""Part of [Target's strategy] is a sensible recognition of heightened price activity in the market,"" Neil Saunders, managing director of GlobalData Retail, told investors. ""However, we would also caution that Target should not chase Wal-Mart on price, as it is a battle that cannot easily be won.""""We also believe that many of Target's issues are not solely price related,"" Saunders added.Indeed, while Target touched on the changes it's made to its grocery division — namely, bringing in more local products, shipping produce more frequently and upping its focus on adult beverages — Cornell admitted that it still has more work to do in that department.Food accounts for roughly 20 percent of Target's sales, and is often used in retail a means to drive repeat traffic from shoppers. However, Cornell reiterated on Tuesday that it is not a full-service grocer, and will continue to utilize its food department as a way to get shoppers to add extra items to their baskets.""We're embracing who we are,"" Cornell said.Target outlined its strategy for growth after reporting fiscal fourth-quarter sales and earnings that disappointed investors. The company's outlook for fiscal 2017 also came well short of analysts' expectations due to its aggressive investment plan.","[Target, pour, capital, area, including, digital, property, existing, store, base, price, year, try, adapt, consumer, changing, shopping, habit, turn, slump, term, CEO, Brian, Cornell, told, analyst, event, New, York, City, Tuesday, Investors, balked, news, sending, company, share, percent, midday, trading, Target, record, biggest, share, trading, hand, Many, competitor, aggressively, rationalizing, asset, They, cutting, cost, keep, head, water, Cornell, said, This, share, trading, hand, Many, competitor, aggressively, rationalizing, asset, They, cutting, cost, keep, head, water, Cornell, said, This, contraction, create, opportunity, Target, pick, market, share, term, In, fiscal, roughly, Target, operating, profit, investment, allocated, driving, growth, business, That, includes, upgrading, big, ...]",1.0
JCP,"J.C. Penney Company, Inc. Holding Company",15:Former J.C. Penney CEO: The only one taking Amazon seriously is Walmart,"Thursday, 23 Feb 2017 |  7:08  PM ET","In the retail world, many are trying to stand out against Amazon, but former J.C. Penney CEO and former head of retail for Apple Ron Johnson says only one retailer is truly making an effort. ""The only retailer that's truly taking Amazon seriously is Walmart,"" Johnson told CNBC's ""Fast Money"" on Thursday. ""Walmart generates five times the net income that Amazon does. Walmart has the resources to take them on."" However, Johnson pointed out that Walmart will still need to figure out how to compete better to counteract Amazon's skyrocketing growth.  ""They're making a lot of moves and it's starting to pay off, but even Walmart will have trouble because if Walmart doubles its $10 billion in sales, it will add $10 billion while Amazon adds $80 billion. People have to take Amazon much more seriously,"" Johnson said.  For retail in general, Johnson suggested that companies should band together in order to make a real impact in taking on the e-commerce giant.  ""If you look at it, collectively, they can have impact. When the industry goes together and Simon [Malls] puts together a better center, people come,"" Johnson said. ""The super regional mall is doing well against Amazon. It's very hard for an individual store within its four walls to create an experience that can matter enough."" Johnson also suggested a few questions retailers should be asking themselves if they take on the mission to beat Amazon. ""What do you do in store to beat Amazon? What do we do with our merchandise to make sure it's differentiated and preferred? How do we price goods?"" Johnson said. ""I would put Amazon on the wall. I would paint it on the billboards and I would say, we are going to find a way to beat Amazon because that is what's going to change the game here."" On top of the Amazon issue, Johnson also commented about the detrimental effect on retail if the border-adjustment tax was to be implemented.  ""We're in a very difficult time. Many retailers are on the brink as they begin to close stores, as the malls they're in start to close and change, so it's a very difficult environment. And you add something like a major need to put a price increase on products and it could have a very serious impact on many,"" Johnson said.  ""Almost every retailer is forecasting comp sales flat or down next year. If you have a border tax and they're forced to raise prices, that's going to further decrease their sales and keep people out of stores.""","[In, retail, world, trying, stand, Amazon, J, C, Penney, CEO, retail, Apple, Ron, Johnson, say, retailer, truly, making, effort, The, In, retail, world, trying, stand, Amazon, J, C, Penney, CEO, retail, Apple, Ron, Johnson, say, retailer, truly, making, effort, The, retailer, truly, taking, Amazon, seriously, Walmart, In, retail, world, trying, stand, Amazon, J, C, Penney, CEO, retail, Apple, Ron, Johnson, say, retailer, truly, making, effort, The, retailer, truly, taking, Amazon, seriously, Walmart, Johnson, In, retail, world, trying, stand, Amazon, J, C, Penney, CEO, retail, Apple, Ron, Johnson, say, retailer, truly, making, effort, The, retailer, truly, taking, Amazon, seriously, Walmart, Johnson, ...]",1.0
HBM.WS,HBM.WS,,,,,
BBY,"Best Buy Co., Inc.",4:None,None,[],,
KND,"Kindred Healthcare, Inc.",,,,,
DCTH,"Delcath Systems, Inc.",,,,,
NFLX,"Netflix, Inc.",27:Why Hulu is hoping to turn old ‘Golden Girls’ episodes into a gold mine,"Saturday, 28 Jan 2017 |  2:00  PM ET","  Come Feb. 13, Hulu is hoping some viewers thank them for being a friend.    On that date, the streaming service has exclusive streaming rights to all 180 episodes of ""The Golden Girls"" — the hit 1980s sitcom about four older women living the single life in Miami — available in its digital library.     More than two decades after its last episode aired, ""The Golden Girls"" remains a cultural touchstone, and helped turn now-95-year-old Betty White into one of America's enduring sweethearts.     Although ""The Golden Girls"" was ranked by the Writers Guild of America at number 69 of its 101 best written series of all time, the show is less of a cultural phenomenon than a ratings juggernaut like ""Seinfeld"" — raising the question of whether the show can pay dividends in the competitive landscape of streaming media.  ""The Golden Girls"" ""has really stood the test of time and is still resonating with audiences. So, when the opportunity came up to license it, we knew we had to take it,"" a Hulu spokesperson explained to CNBC.     In 2015, Hulu made headlines when it landed ""Seinfeld"" for an amount reported to be between $130 million and $180 million. The spokesperson told CNBC that as a matter of policy, Hulu does not divulge how much it pays for content licensing agreements, but defended the ""Golden Girls"" acquisition as a good bet.    ""In identifying potential acquisitions, we're constantly looking for TV shows that viewers consistently talk about but aren't yet able to stream,"" he said.     Fair enough, but can a group of retirees from the 1980s pull in the viewers needed to justify the investment?   ""Given the fact that shows like 'Seinfeld' and 'The Golden Girls' run so frequently in syndication, it may seem counterintuitive for streaming services to have such significant interest,"" said Elizabeth Yuko, an adjunct professor of ethics at Fordham University who has studied the influence of ""The Golden Girls"" on bioethics.    Hulu's move makes perfect sense in a certain context, Yuko told CNBC. ""A lot of the younger generations no longer subscribe to cable … and therefore don't have access to shows like 'The Golden Girls' that we think of as airing constantly.""    Christopher Coby, senior research analyst at 7Park Data, a company that analyzes viewership trends on several streaming media services, including Hulu, said that any streaming service hoping to make a splash with viewers needed a full slate of comedy programs for viewers to choose from. He suspects Baby Boomers — and perhaps their adult children — would glom onto ""The Golden Girls"" when it becomes available.   ""Comedy accounts for the most streams of any TV genre,"" Coby told CNBC, adding that around 20 percent of Hulu TV streams are comedy, for largely competitive reasons. Streaming giant Netflix holds nearly 40 percent of the streaming market, according to 2015 Nielsen data, while Amazon holds 13 percent. Hulu brings up the rear at 6.5 percent.   ""Hulu must defend against Netflix and Amazon,"" Coby said. ""For Hulu, continuing to build on a core of library TV is an important part of the growth picture."" Netflix already has a big leg up with some of the more iconic TV franchises of the 80s and 90s, he added, including  ""Cheers,"" ""The Wonder Years"" and ""Friends."" Currently, Amazon licenses ""Family Ties,"" ""Dynasty"" and ""Sex and the City.""    Daniel Malak, an associate at data analytics firm Motionloft, said that the acquisition may be an attempt to court other key groups such as lesbians, gays and bisexuals — a demographic where ""The Golden Girls"" is wildly popular. Recent estimates place LGBT purchasing power at nearly $1 trillion, making them an attractive advertising target for Hulu, Malak said.   Fordham's Yuko added that the ""The Golden Girls"" reappearance on a new medium like Hulu has major nostalgic value, and presents an opportunity to introduce a new generation.   For someone like Emily Taffel, a 36-year-old public relations executive who lives in the ""Golden Girls'"" old stomping grounds of Miami, Hulu's latest deal is an opportunity for both nostalgia and comfort.    ""You know how when you're sick, you want something comfortable that you already know? Chicken soup, a hug from your mom,"" Taffel said, adding that she was already a years-long fan of the show.    ""It is one of the best written shows and the humor stands up,"" she said. ""It was 'Sex and the City' before there was a 'Sex and the City' — just with an older cast and more wicker furniture."" ","[medium, The, Golden, Girls, really, stood, test, time, resonating, audience, So, opportunity, came, license, knew, take, Hulu, spokesperson, explained, CNBC, In, Hulu, made, headline, landed, Seinfeld, amount, reported, The, spokesperson, told, CNBC, matter, policy, Hulu, divulge, pay, content, licensing, agreement, Seinfeld, amount, reported, The, spokesperson, told, CNBC, matter, policy, Hulu, divulge, pay, content, licensing, agreement, defended, Golden, Girls, acquisition, bet, In, identifying, potential, acquisition, constantly, looking, TV, show, viewer, consistently, talk, able, stream, said, Fair, group, retiree, pull, viewer, needed, available, Comedy, account, stream, TV, genre, Coby, told, CNBC, adding, percent, Hulu, TV, stream, comedy, largely, competitive, reason, Streaming, giant, ...]",1.0
CHFN,Charter Financial Corp.,1:None,None,[],,
NBD,Nuveen Build America Bond Opportunity Fund,,,,,
HBNC,Horizon Bancorp (IN),,,,,
BRK.A,BRK.A,38:Warren Buffett says the US will do fine under Trump because we've got the 'secret sauce',"Friday, 20 Jan 2017 |  7:00  AM ET","Hillary Clinton backer Warren Buffett told CNBC on the eve of Donald Trump's inauguration that the billionaire real estate mogul has the ""most important job in the world."" ""America works,"" the chairman and CEO of Berkshire Hathaway said. ""I've said this before. It'll work wonderfully under Hillary Clinton, and I think it'll work fine under Donald Trump."" At a red carpet event Thursday night in New York for a new HBO documentary about his life, Buffett told CNBC the United States has the ""secret sauce."" ""It doesn't work all the time perfectly,"" the billionaire investor and philanthropist said, ""but you just look at where we go, milestone after milestone. Never bet against America."" With that mantra as a guiding principle, Buffett said, ""we're almost always a buyer of stocks over time."" Reiterating his call to invest for the long haul, Buffett acknowledged that he doesn't know where the stock market will go in the next ""10 days or a year or two years."" But one thing he said he does know: ""It's going to be higher 10 years, 20 years from now."" ""There will be hiccups from time to time in the economy,"" he cautioned. ""[But] we'll do well over time."" The HBO documentary ""Becoming Warren Buffett,"" premieres on Jan. 30. It tells the story of the Oracle of Omaha's rise to become one of the most revered businessman in the world. Buffett told CNBC: ""This is a story about my dad and my first wife, and also about my second wife, who all really put me together, saved me. So I think people will see a different side of me than they've seen before.""",[],0.0
UBSH,Union Bankshares Corporation,,,,,
